Productos Más Vendidos - Tienda 1
Producto,Cantidad
Microondas,60
TV LED UHD 4K,60
Armario,60
Secadora de ropa,58
Mesa de noche,56
Bloques de construcción,56
Balón de baloncesto,55
Bicicleta,54
Vaso térmico,54
Refrigerador,54

Productos Más Vendidos - Tienda 2
Producto,Cantidad
Iniciando en programación,65
Microondas,62
Batería,61
Guitarra acústica,58
Pandereta,58
Secadora de ropa,57
Iphone 15,55
Bloques de construcción,54
Armario,54
Set de ollas,52

Productos Más Vendidos - Tienda 3
Producto,Cantidad
Kit de bancas,57
Mesa de comedor,56
Cama king,56
Set de ollas,55
Mesa de noche,55
Smart TV,54
Estufa,53
Cuerda para saltar,53
Modelado predictivo,53
Carrito de control remoto,52

Productos Más Vendidos - Tienda 4
Producto,Cantidad
Cama box,62
Cubertería,59
Dashboards con Power BI,56
Cama king,56
Carrito de control remoto,55
Mesa de comedor,55
Mesa de noche,55
Smart TV,54
Bloques de construcción,54
Pandereta,52

