Productos Menos Vendidos - Tienda 1
Producto,Cantidad
Muñeca bebé,40
Mesa de comedor,40
Dinosaurio Rex,40
Cuerda para saltar,40
Mochila,39
Ciencia de datos con Python,39
Pandereta,36
Olla de presión,35
Auriculares con micrófono,33
Celular ABXY,33

Productos Menos Vendidos - Tienda 2
Producto,Cantidad
Dinosaurio Rex,42
Celular ABXY,41
Smart TV,40
Cubertería,39
Asistente virtual,38
Auriculares,37
Sillón,35
Mesa de comedor,34
Impresora,34
Juego de mesa,32

Productos Menos Vendidos - Tienda 3
Producto,Cantidad
Cubertería,39
Muñeca bebé,39
Auriculares con micrófono,39
Asistente virtual,39
Vaso térmico,38
Guitarra eléctrica,38
Set de vasos,36
Mochila,36
Microondas,36
Bloques de construcción,35

Productos Menos Vendidos - Tienda 4
Producto,Cantidad
Silla de oficina,40
Celular ABXY,39
Ajedrez de madera,39
Smartwatch,39
Lavadora de ropa,38
Refrigerador,38
Ciencia de datos con Python,38
Guitarra acústica,37
Armario,34
Guitarra eléctrica,33

