Tienda 1
Categoría,Ventas Totales
Artículos para el hogar,"$12,698,400.00"
Deportes y diversión,"$39,290,000.00"
Electrodomésticos,"$363,685,200.00"
Electrónicos,"$429,493,500.00"
Instrumentos musicales,"$91,299,000.00"
Juguetes,"$17,995,700.00"
Libros,"$8,784,900.00"
Muebles,"$187,633,700.00"

Tienda 2
Categoría,Ventas Totales
Artículos para el hogar,"$14,746,900.00"
Deportes y diversión,"$34,744,500.00"
Electrodomésticos,"$348,567,800.00"
Electrónicos,"$410,831,100.00"
Instrumentos musicales,"$104,990,300.00"
Juguetes,"$15,945,400.00"
Libros,"$10,091,200.00"
Muebles,"$176,426,300.00"

Tienda 3
Categoría,Ventas Totales
Artículos para el hogar,"$15,060,000.00"
Deportes y diversión,"$35,593,100.00"
Electrodomésticos,"$329,237,900.00"
Electrónicos,"$410,775,800.00"
Instrumentos musicales,"$77,380,900.00"
Juguetes,"$19,401,100.00"
Libros,"$9,498,700.00"
Muebles,"$201,072,100.00"

Tienda 4
Categoría,Ventas Totales
Artículos para el hogar,"$15,074,500.00"
Deportes y diversión,"$33,350,100.00"
Electrodomésticos,"$283,260,200.00"
Electrónicos,"$409,476,100.00"
Instrumentos musicales,"$75,102,400.00"
Juguetes,"$20,262,200.00"
Libros,"$9,321,300.00"
Muebles,"$192,528,900.00"
